"name","archive_url","stars"
"xsiruse/DJ_m2m","https://api.github.com/repos/xsiruse/DJ_m2m/{archive_format}{/ref}","0"
"ademahmudf/cactus","https://api.github.com/repos/ademahmudf/cactus/{archive_format}{/ref}","0"
"gedankenstuecke/qf-dashboard","https://api.github.com/repos/gedankenstuecke/qf-dashboard/{archive_format}{/ref}","0"
"jay-dimock/spotification","https://api.github.com/repos/jay-dimock/spotification/{archive_format}{/ref}","0"
"luis705/password-manager","https://api.github.com/repos/luis705/password-manager/{archive_format}{/ref}","0"
"PilYeooong/django_Vuejeju","https://api.github.com/repos/PilYeooong/django_Vuejeju/{archive_format}{/ref}","0"
"decadevs/decagoncentral-CoderHal","https://api.github.com/repos/decadevs/decagoncentral-CoderHal/{archive_format}{/ref}","0"
"Shamba-gpu/dj-10-8","https://api.github.com/repos/Shamba-gpu/dj-10-8/{archive_format}{/ref}","0"
"chenbensong/nd081","https://api.github.com/repos/chenbensong/nd081/{archive_format}{/ref}","0"
"venetahar/iso-privacy-tee-he","https://api.github.com/repos/venetahar/iso-privacy-tee-he/{archive_format}{/ref}","0"
"handgun50/selenium-adrian","https://api.github.com/repos/handgun50/selenium-adrian/{archive_format}{/ref}","0"
"kerkeslager/boring-blog","https://api.github.com/repos/kerkeslager/boring-blog/{archive_format}{/ref}","0"
"nextic/ANTEA","https://api.github.com/repos/nextic/ANTEA/{archive_format}{/ref}","0"
"sihaysistema/cambiare-gtq","https://api.github.com/repos/sihaysistema/cambiare-gtq/{archive_format}{/ref}","0"
"Jordan-Davidson/recipe-box","https://api.github.com/repos/Jordan-Davidson/recipe-box/{archive_format}{/ref}","0"
"Dakota-Peel/LedFx","https://api.github.com/repos/Dakota-Peel/LedFx/{archive_format}{/ref}","0"
"Netnom/Buku","https://api.github.com/repos/Netnom/Buku/{archive_format}{/ref}","0"
"krast-napoli/shelter","https://api.github.com/repos/krast-napoli/shelter/{archive_format}{/ref}","0"
"anandbonde/cows_and_bulls","https://api.github.com/repos/anandbonde/cows_and_bulls/{archive_format}{/ref}","0"
"gttarun/dogfinder","https://api.github.com/repos/gttarun/dogfinder/{archive_format}{/ref}","0"
"NecrOctopuS/real_estate_agency","https://api.github.com/repos/NecrOctopuS/real_estate_agency/{archive_format}{/ref}","0"
"Konstantinov-Innokentii/ideal-sniffle","https://api.github.com/repos/Konstantinov-Innokentii/ideal-sniffle/{archive_format}{/ref}","0"
"NinjaAung/BackwardsPoetry","https://api.github.com/repos/NinjaAung/BackwardsPoetry/{archive_format}{/ref}","0"
"fkdfkdfk5/drf_quiz_0","https://api.github.com/repos/fkdfkdfk5/drf_quiz_0/{archive_format}{/ref}","0"
"Basler5/statour","https://api.github.com/repos/Basler5/statour/{archive_format}{/ref}","0"
"Andkleven/skjema","https://api.github.com/repos/Andkleven/skjema/{archive_format}{/ref}","0"
"YNotPrimo/Todo","https://api.github.com/repos/YNotPrimo/Todo/{archive_format}{/ref}","0"
"ijuliie/recipes-backend","https://api.github.com/repos/ijuliie/recipes-backend/{archive_format}{/ref}","0"
"suraj-shakya/Contacts","https://api.github.com/repos/suraj-shakya/Contacts/{archive_format}{/ref}","0"
"kosuke00/anagram","https://api.github.com/repos/kosuke00/anagram/{archive_format}{/ref}","0"
"Durgarao310/mysiteblog","https://api.github.com/repos/Durgarao310/mysiteblog/{archive_format}{/ref}","0"
"pawlaczyk/film_app","https://api.github.com/repos/pawlaczyk/film_app/{archive_format}{/ref}","0"
"sujay-sharma/polling_website","https://api.github.com/repos/sujay-sharma/polling_website/{archive_format}{/ref}","0"
"maruuuui/progress_bar","https://api.github.com/repos/maruuuui/progress_bar/{archive_format}{/ref}","0"
"LSYSmallFish/myblog","https://api.github.com/repos/LSYSmallFish/myblog/{archive_format}{/ref}","0"
"tones7778/mdn-django-tutorial","https://api.github.com/repos/tones7778/mdn-django-tutorial/{archive_format}{/ref}","0"
"jnrdrgz/Django_ProdeAdmin","https://api.github.com/repos/jnrdrgz/Django_ProdeAdmin/{archive_format}{/ref}","0"
"nathanjudely/my-first-blog","https://api.github.com/repos/nathanjudely/my-first-blog/{archive_format}{/ref}","0"
"kushal-r/wall-e","https://api.github.com/repos/kushal-r/wall-e/{archive_format}{/ref}","0"
"ThakurHitesh/e_commerce","https://api.github.com/repos/ThakurHitesh/e_commerce/{archive_format}{/ref}","0"
"Tuanpm31/intercom-mattermost","https://api.github.com/repos/Tuanpm31/intercom-mattermost/{archive_format}{/ref}","0"
"katastreet/django-test-backend","https://api.github.com/repos/katastreet/django-test-backend/{archive_format}{/ref}","0"
"mubeenellahi1/django-sample","https://api.github.com/repos/mubeenellahi1/django-sample/{archive_format}{/ref}","0"
"LucasBarletta/Back-Reciclagem","https://api.github.com/repos/LucasBarletta/Back-Reciclagem/{archive_format}{/ref}","0"
