"name","archive_url","stars"
"HuthjaminBen/HuthjaminBen.github.io","https://api.github.com/repos/HuthjaminBen/HuthjaminBen.github.io/{archive_format}{/ref}","1"
"joergwolters/joergwolters.github.io","https://api.github.com/repos/joergwolters/joergwolters.github.io/{archive_format}{/ref}","1"
"baptiste0928/userinfo-bot","https://api.github.com/repos/baptiste0928/userinfo-bot/{archive_format}{/ref}","1"
"waytoofarout/waytoofarout.github.io","https://api.github.com/repos/waytoofarout/waytoofarout.github.io/{archive_format}{/ref}","1"
"eisbaer72/eisbaer72.github.io","https://api.github.com/repos/eisbaer72/eisbaer72.github.io/{archive_format}{/ref}","1"
"Zedredhat/Zedredhat.github.io","https://api.github.com/repos/Zedredhat/Zedredhat.github.io/{archive_format}{/ref}","1"
"eganjs/yaga","https://api.github.com/repos/eganjs/yaga/{archive_format}{/ref}","1"
"hicetnunc2000/hicetnunc","https://api.github.com/repos/hicetnunc2000/hicetnunc/{archive_format}{/ref}","1"
"MSt-10/Mst-10.github.io","https://api.github.com/repos/MSt-10/Mst-10.github.io/{archive_format}{/ref}","1"
"pwnbus/footyhints","https://api.github.com/repos/pwnbus/footyhints/{archive_format}{/ref}","1"
"MP-ES/vmm_manager","https://api.github.com/repos/MP-ES/vmm_manager/{archive_format}{/ref}","1"
"ertis-research/kafka-ml","https://api.github.com/repos/ertis-research/kafka-ml/{archive_format}{/ref}","1"
"neo-jack-official/LibJack","https://api.github.com/repos/neo-jack-official/LibJack/{archive_format}{/ref}","1"
"XhinoKurtaj/DjangoBlog","https://api.github.com/repos/XhinoKurtaj/DjangoBlog/{archive_format}{/ref}","1"
"meandgit/meandgit.github.io","https://api.github.com/repos/meandgit/meandgit.github.io/{archive_format}{/ref}","1"
"ChrHBo/chrhbo.github.io","https://api.github.com/repos/ChrHBo/chrhbo.github.io/{archive_format}{/ref}","1"
"Freekers/nginx-proxy","https://api.github.com/repos/Freekers/nginx-proxy/{archive_format}{/ref}","1"
"kylestang/Battlesnake-Dragonborn","https://api.github.com/repos/kylestang/Battlesnake-Dragonborn/{archive_format}{/ref}","1"
"szyha/PublicLeech","https://api.github.com/repos/szyha/PublicLeech/{archive_format}{/ref}","1"
"jleexxx/github.io","https://api.github.com/repos/jleexxx/github.io/{archive_format}{/ref}","1"
"ApachePointObservatory/twistedActor","https://api.github.com/repos/ApachePointObservatory/twistedActor/{archive_format}{/ref}","1"
"berloger/GAZ","https://api.github.com/repos/berloger/GAZ/{archive_format}{/ref}","1"
"sippi-19/sippi-19.github.io","https://api.github.com/repos/sippi-19/sippi-19.github.io/{archive_format}{/ref}","1"
"happahappa/happahappa.github.io","https://api.github.com/repos/happahappa/happahappa.github.io/{archive_format}{/ref}","1"
"ictr/covid19-outbreak-simulator","https://api.github.com/repos/ictr/covid19-outbreak-simulator/{archive_format}{/ref}","1"
"zanonShao/WS-OFA","https://api.github.com/repos/zanonShao/WS-OFA/{archive_format}{/ref}","1"
"grupopv/pingmonitor","https://api.github.com/repos/grupopv/pingmonitor/{archive_format}{/ref}","1"
"Ommo73/misc-addons","https://api.github.com/repos/Ommo73/misc-addons/{archive_format}{/ref}","1"
"erochest/text-basics","https://api.github.com/repos/erochest/text-basics/{archive_format}{/ref}","1"
"ImperialCollegeLondon/research-software-directory-data","https://api.github.com/repos/ImperialCollegeLondon/research-software-directory-data/{archive_format}{/ref}","1"
